neighbourhood,property_type,room_type,beds,price,review_scores_rating,date_difference
1,0,0,1.0,120,92.05056465561094,2124
3,0,1,1.0,50,96.0,2124
1,0,0,1.0,100,100.0,2123
2,0,0,1.0,220,90.0,2123
1,0,1,1.0,80,94.0,2122
2,0,0,1.0,207,91.0,2121
2,0,0,1.0,199,94.0,2121
2,0,1,1.0,190,92.05056465561094,2121
1,10,0,7.0,199,85.0,2120
1,13,0,2.0,125,87.0,2120
1,8,1,1.0,59,100.0,2119
2,0,0,1.0,145,96.0,2117
2,0,1,1.0,95,92.05056465561094,2117
1,0,0,3.0,195,96.0,2116
1,10,0,4.0,225,90.88325849903784,2116
2,0,0,2.0,450,92.05056465561094,2116
2,16,0,4.0,200,100.0,2116
1,10,1,1.0,90,96.0,2116
1,10,1,1.0,95,99.0,2116
1,10,1,1.0,85,98.0,2116
1,16,1,2.0,99,100.0,2116
1,0,1,1.0,150,100.0,2115
1,0,1,1.0,150,92.05056465561094,2115
1,0,0,2.0,215,92.05056465561094,2114
1,0,0,2.0,215,92.05056465561094,2114
2,0,0,1.0,225,95.0,2114
1,0,0,2.0,125,93.0,2113
2,0,0,2.0,180,92.0,2113
2,0,0,1.0,150,97.0,2113
2,0,0,2.0,160,82.0,2113
2,0,0,2.0,240,92.05056465561094,2113
2,0,0,3.0,180,86.0,2113
2,0,0,2.0,210,79.0,2113
2,0,1,1.0,120,98.0,2113
2,0,1,1.0,130,100.0,2113
2,0,1,1.0,125,99.0,2113
2,0,1,1.0,99,88.0,2113
1,0,0,2.0,300,90.0,2112
1,10,0,4.0,385,60.0,2112
1,10,1,1.0,145,100.0,2112
1,10,1,1.0,135,97.0,2112
1,10,1,1.0,135,100.0,2112
2,0,1,2.0,150,100.0,2112
1,0,0,1.0,150,97.0,2111
1,0,0,2.0,190,96.0,2110
1,0,0,2.0,149,95.0,2109
2,0,0,1.0,200,100.0,2109
2,0,0,2.0,200,90.0,2109
1,0,0,1.0,170,98.0,2108
2,0,0,4.0,445,90.0,2108
2,0,0,1.0,135,78.0,2108
2,0,1,1.0,74,93.0,2108
1,0,0,1.0,125,92.05056465561094,2107
2,0,0,2.0,99,82.0,2107
2,0,0,2.0,129,82.0,2107
2,0,1,1.0,59,85.0,2107
2,0,1,1.0,79,96.0,2107
3,0,0,2.0,160,90.0,2106
3,10,0,2.0,160,96.0,2106
1,0,0,2.0,165,96.0,2105
1,0,0,1.0,195,98.0,2105
2,0,0,1.0,160,89.0,2104
2,0,0,2.0,220,93.0,2104
2,0,0,1.0,180,92.05056465561094,2104
2,0,0,1.0,180,100.0,2104
2,0,0,1.0,280,93.0,2101
2,0,0,1.0,130,92.05056465561094,2101
1,0,0,4.0,136,90.0,2100
2,0,0,3.0,150,91.0,2100
2,0,0,3.0,247,92.0,2099
2,0,0,2.0,149,76.0,2099
1,0,1,1.0,72,97.0,2099
2,0,1,1.0,165,98.0,2099
2,0,1,1.0,110,96.0,2099
2,0,1,1.0,118,90.0,2099
2,0,1,1.0,89,90.0,2099
2,0,1,1.0,110,100.0,2099
2,0,1,1.0,79,86.0,2099
2,0,1,1.0,77,84.0,2099
2,0,1,1.0,76,78.0,2099
2,9,1,1.0,90,89.0,2099
1,0,0,6.0,207,90.0,2097
2,0,0,1.0,139,94.0,2097
2,0,0,1.0,109,94.0,2097
1,0,1,2.0,59,93.0,2097
1,0,1,1.0,59,79.0,2097
1,0,1,2.0,69,80.0,2097
1,0,1,2.0,69,79.0,2097
1,0,1,2.0,59,80.0,2097
1,0,1,2.0,59,80.0,2097
2,0,1,1.0,69,94.0,2097
2,0,1,1.0,59,92.0,2097
1,0,0,1.0,145,92.05056465561094,2096
1,0,0,1.0,240,92.05056465561094,2096
2,0,0,2.0,175,94.0,2096
1,0,1,1.0,100,95.0,2095
2,0,1,1.0,200,92.05056465561094,2095
2,0,1,1.0,92,91.0,2095
2,0,0,1.0,120,100.0,2094
2,0,1,1.0,95,99.0,2094
1,0,0,2.0,110,96.0,2093
1,0,0,3.0,100,92.0,2093
1,0,0,2.0,135,95.0,2093
2,0,0,1.0,198,92.05056465561094,2093
2,0,0,1.0,205,93.0,2093
1,0,1,1.0,75,100.0,2093
2,0,1,1.0,90,86.0,2093
2,0,0,1.0,200,95.0,2092
1,0,0,2.0,140,97.0,2091
1,0,0,2.0,145,79.0,2091
1,0,0,1.0,99,86.0,2091
1,0,0,1.0,99,82.0,2091
1,0,0,1.0,99,86.0,2091
1,0,0,1.0,99,89.0,2091
1,0,0,3.0,159,90.0,2091
1,10,0,3.0,299,81.0,2091
2,0,0,1.0,155,95.0,2091
2,0,0,1.0,165,94.0,2091
1,10,1,1.0,89,77.0,2091
2,0,0,1.0,105,92.05056465561094,2090
2,0,0,3.0,149,80.0,2090
3,10,1,2.0,110,98.0,2090
1,0,0,2.0,145,95.0,2089
2,0,0,2.0,222,93.0,2089
2,0,0,1.0,169,96.0,2089
1,0,0,2.0,245,85.0,2088
2,0,0,1.0,220,98.0,2088
2,0,0,1.0,130,87.0,2088
2,0,0,1.0,165,87.0,2088
2,0,1,1.0,69,91.0,2088
1,0,0,2.0,250,97.0,2087
2,0,0,2.0,150,92.05056465561094,2087
2,0,0,2.0,150,86.0,2087
1,0,1,1.0,99,100.0,2087
2,13,1,1.0,165,90.0,2087
2,0,0,2.0,145,72.0,2086
2,0,0,2.0,225,80.0,2086
3,0,0,1.0,104,95.0,2086
1,0,0,6.0,275,90.0,2085
1,0,0,3.0,153,93.0,2085
1,10,0,8.0,475,80.0,2085
2,0,1,1.0,65,94.0,2085
1,0,0,1.0,150,92.05056465561094,2084
1,0,0,4.0,349,98.0,2084
1,0,0,3.0,220,100.0,2084
1,0,1,1.0,65,94.0,2084
1,0,1,1.0,70,92.05056465561094,2084
1,0,1,1.0,75,100.0,2084
1,0,1,1.0,85,96.0,2083
1,0,1,1.0,160,100.0,2083
2,1,1,1.0,100,88.0,2083
2,0,0,3.0,180,88.0,2082
1,13,0,1.0,90,80.0,2081
2,0,1,1.0,90,93.0,2081
1,0,0,3.0,135,90.0,2080
1,0,1,1.0,100,92.05056465561094,2080
2,0,1,1.0,85,100.0,2080
2,0,0,1.0,185,96.0,2079
1,0,0,3.0,225,80.0,2078
2,0,0,1.0,150,88.0,2078
3,2,0,2.0,175,93.0,2078
1,0,1,1.0,98,92.05056465561094,2078
2,0,1,1.0,120,90.0,2078
1,10,1,1.0,60,100.0,2077
1,0,0,2.0,180,90.0,2075
2,0,0,1.0,114,92.0,2075
2,0,0,6.0,225,95.0,2074
1,0,2,1.0,72,90.0,2074
1,0,0,4.0,99,90.0,2073
1,0,0,1.0,99,89.0,2073
1,0,0,4.0,99,77.0,2073
1,0,0,1.0,99,50.0,2073
1,13,0,1.0,160,96.0,2073
1,0,1,1.0,50,80.0,2073
2,0,1,1.0,55,92.0,2073
1,0,0,2.0,249,80.0,2072
1,0,0,3.0,195,87.0,2072
1,0,0,2.0,225,98.0,2072
2,0,0,1.0,180,91.0,2072
2,0,1,1.0,95,77.0,2072
1,0,0,1.0,105,90.0,2071
2,0,1,1.0,120,95.0,2071
1,0,0,6.0,220,80.0,2067
1,0,0,5.0,200,87.0,2067
1,0,0,5.0,200,83.0,2067
2,0,0,1.0,210,97.0,2067
2,0,0,1.0,190,97.0,2067
2,0,0,2.0,320,96.0,2067
1,0,0,2.0,190,96.0,2066
1,0,0,1.0,100,100.0,2065
1,0,1,1.0,75,96.0,2065
2,0,2,1.0,135,92.05056465561094,2065
2,0,0,1.0,292,97.0,2063
1,0,0,1.0,132,93.0,2062
2,0,1,1.0,90,92.05056465561094,2062
1,0,1,1.0,95,92.05056465561094,2060
1,0,1,1.0,89,94.0,2059
2,0,0,1.0,190,98.0,2058
2,0,1,1.0,75,95.0,2058
2,0,1,1.0,100,86.0,2057
3,0,1,1.0,70,100.0,2057
1,0,0,1.0,160,100.0,2056
2,0,1,1.0,125,94.0,2056
2,0,1,1.0,150,97.0,2055
2,0,0,2.0,225,95.0,2051
2,0,0,1.0,226,95.0,2051
1,0,1,1.0,85,97.0,2051
1,0,0,2.0,129,89.0,2049
2,0,0,3.0,225,93.0,2049
2,0,0,4.0,420,95.0,2049
2,0,0,6.0,500,94.0,2049
2,0,0,4.0,325,94.0,2049
2,0,0,4.0,307,95.0,2049
2,0,0,4.0,420,98.0,2049
2,0,0,12.0,225,93.0,2049
1,0,1,1.0,84,93.0,2049
1,0,1,1.0,78,92.0,2049
1,0,1,1.0,79,100.0,2049
2,0,1,1.0,125,95.0,2049
2,0,1,1.0,125,92.0,2049
2,13,1,1.0,125,99.0,2049
1,0,1,1.0,95,100.0,2047
1,0,0,2.0,105,90.0,2046
1,0,0,2.0,95,90.0,2046
1,0,0,2.0,100,93.0,2046
1,0,0,1.0,450,93.0,2046
2,0,0,3.0,265,89.0,2045
1,0,1,1.0,90,92.05056465561094,2044
1,0,0,4.0,600,92.0,2042
1,0,0,1.0,150,92.0,2041
1,0,0,3.0,145,94.0,2041
